
Mo,Zo,Age,Mass,logL,logTe
 60.00,0.020, 3.886141e+06,  7.8287, 5.384, 4.794
 60.00,0.020, 3.465304e+06, 34.4274, 6.081, 4.213
 60.00,0.020, 3.479138e+06, 33.3207, 6.075, 4.247
 60.00,0.020, 3.492651e+06, 32.2396, 6.063, 4.306
 60.00,0.020, 3.506837e+06, 31.1047, 6.037, 4.402
 60.00,0.020, 3.522313e+06, 29.8666, 5.975, 4.484
 60.00,0.020, 3.541014e+06, 28.3706, 5.948, 4.279
 60.00,0.020, 3.550132e+06, 24.3357, 5.842, 4.252
 60.00,0.020, 3.576131e+06, 15.6143, 5.543, 4.372
 60.00,0.020, 3.599345e+06, 12.2515, 5.371, 4.425
 60.00,0.020, 3.623488e+06, 10.2014, 5.234, 4.465
 60.00,0.020, 3.651344e+06,  8.6714, 5.110, 4.497
 60.00,0.020, 3.681058e+06,  7.5532, 5.001, 4.522
 60.00,0.020, 3.714487e+06,  6.6517, 4.900, 4.544
 60.00,0.020, 3.751629e+06,  5.9149, 4.805, 4.562
 60.00,0.020, 3.791762e+06,  5.3137, 4.717, 4.579
 60.00,0.020, 3.838951e+06,  4.7733, 4.629, 4.595
 60.00,0.020, 3.890635e+06,  4.3172, 4.546, 4.610
 60.00,0.020, 3.951397e+06,  3.9008, 4.463, 4.625
 60.00,0.020, 4.029510e+06,  3.4900, 4.373, 4.645
 60.00,0.020, 4.064749e+06,  3.3375, 4.339, 4.654
 60.00,0.020, 4.105704e+06,  3.1797, 4.309, 4.670
 60.00,0.020, 4.129662e+06,  3.0959, 4.355, 4.709
 60.00,0.020, 4.146384e+06,  3.0407, 4.512, 4.760
 60.00,0.020, 4.160874e+06,  2.9948, 4.681, 4.776
 60.00,0.020, 4.167892e+06,  2.9732, 4.777, 4.761
 60.00,0.020, 4.169721e+06,  2.9677, 4.804, 4.744
 60.00,0.020, 4.170480e+06,  2.9654, 4.819, 4.733
 60.00,0.020, 4.171156e+06,  2.9633, 4.837, 4.723
 60.00,0.020, 4.171526e+06,  2.9622, 4.845, 4.719
 60.00,0.020, 4.172452e+06,  2.9594, 4.858, 4.708
 40.00,0.020, 2.000152e+04, 39.9904, 5.373, 4.640
 40.00,0.020, 5.807442e+05, 39.8718, 5.401, 4.632
 40.00,0.020, 1.315421e+06, 39.6668, 5.442, 4.622
 40.00,0.020, 1.955802e+06, 39.4203, 5.481, 4.610
 40.00,0.020, 2.507163e+06, 39.1229, 5.517, 4.593
 40.00,0.020, 2.992552e+06, 38.7400, 5.551, 4.571
 40.00,0.020, 3.412560e+06, 38.2482, 5.583, 4.539
 40.00,0.020, 3.688864e+06, 37.7922, 5.605, 4.508
 40.00,0.020, 3.943913e+06, 37.2267, 5.627, 4.462
 40.00,0.020, 4.091709e+06, 36.8183, 5.641, 4.424
 40.00,0.020, 4.273238e+06, 36.2252, 5.662, 4.369
 40.00,0.020, 4.300757e+06, 36.1267, 5.676, 4.393
 40.00,0.020, 4.303191e+06, 36.1179, 5.694, 4.423
 40.00,0.020, 4.304344e+06, 36.1136, 5.700, 4.439
 40.00,0.020, 4.306812e+06, 36.1041, 5.710, 4.359
 40.00,0.020, 4.308017e+06, 36.0985, 5.718, 4.258
 40.00,0.020, 4.308740e+06, 36.0942, 5.720, 4.176
 40.00,0.020, 4.309463e+06, 36.0879, 5.721, 4.062
 40.00,0.020, 4.309865e+06, 36.0809, 5.722, 3.960
 40.00,0.020, 4.310335e+06, 36.0624, 5.726, 3.896
 40.00,0.020, 4.312086e+06, 35.9319, 5.733, 3.794
 40.00,0.020, 4.325156e+06, 34.2749, 5.761, 3.766
 40.00,0.020, 4.343674e+06, 31.8531, 5.759, 3.771
 40.00,0.020, 4.360748e+06, 29.7406, 5.758, 3.780
 40.00,0.020, 4.377934e+06, 27.8970, 5.754, 3.801
 40.00,0.020, 4.395102e+06, 26.4345, 5.750, 3.834
 40.00,0.020, 4.413250e+06, 25.1865, 5.741, 3.843
 40.00,0.020, 4.431034e+06, 24.0449, 5.733, 3.841
 40.00,0.020, 4.449050e+06, 22.9134, 5.726, 3.839
 40.00,0.020, 4.467865e+06, 21.7739, 5.718, 3.839
 40.00,0.020, 4.486680e+06, 20.7030, 5.708, 3.842
 40.00,0.020, 4.507709e+06, 19.6312, 5.695, 3.851
 40.00,0.020, 4.528356e+06, 18.7220, 5.677, 4.299
 40.00,0.020, 4.555998e+06, 17.5921, 5.666, 4.538
 40.00,0.020, 4.581060e+06, 16.1930, 5.618, 4.559
 40.00,0.020, 4.600675e+06, 15.2755, 5.583, 4.579
 40.00,0.020, 4.629006e+06, 13.2154, 5.490, 4.554
 40.00,0.020, 4.658428e+06, 11.6862, 5.411, 4.583
 40.00,0.020, 4.691152e+06, 10.4224, 5.338, 4.610
 40.00,0.020, 4.730628e+06,  9.2803, 5.267, 4.639
